id,observateur,participant,date,time,lieu,phase,ligne,col,mot,couleur,rep,timeRep,err,condition
838,,gdfg,2021-03-23,12:19:18,,Pretest2,1,2,VERT,BLEU,B,450,0,X
839,,gdfg,2021-03-23,12:19:18,,Pretest2,1,3,ROUGE,JAUNE,J,435,0,X
840,,gdfg,2021-03-23,12:19:19,,Pretest2,1,4,JAUNE,VERT,V,554,0,X
841,,gdfg,2021-03-23,12:19:20,,Pretest2,1,5,VERT,BLEU,B,1110,0,X
842,,gdfg,2021-03-23,12:19:25,,Test2,1,1,BLEU,VERT,R,1714,1,X
843,,gdfg,2021-03-23,12:19:25,,Test2,1,2,JAUNE,BLEU,R,225,1,X
844,,gdfg,2021-03-23,12:19:25,,Test2,1,3,BLEU,JAUNE,R,210,1,X
845,,gdfg,2021-03-23,12:19:25,,Test2,1,4,ROUGE,VERT,R,195,1,X
846,,gdfg,2021-03-23,12:19:25,,Test2,1,5,BLEU,ROUGE,R,225,0,X
847,,gdfg,2021-03-23,12:19:26,,Test2,2,1,VERT,JAUNE,R,365,1,X
848,,gdfg,2021-03-23,12:19:26,,Test2,2,2,JAUNE,BLEU,R,225,1,X
849,,gdfg,2021-03-23,12:19:27,,Test2,2,3,ROUGE,BLEU,R,180,1,X
850,,gdfg,2021-03-23,12:19:27,,Test2,2,4,VERT,JAUNE,R,225,1,X
851,,gdfg,2021-03-23,12:19:27,,Test2,2,5,JAUNE,VERT,R,180,1,X
852,,gdfg,2021-03-23,12:19:28,,Test2,3,1,VERT,ROUGE,R,380,0,X
853,,gdfg,2021-03-23,12:19:28,,Test2,3,2,ROUGE,BLEU,R,225,1,X
854,,gdfg,2021-03-23,12:19:28,,Test2,3,3,VERT,JAUNE,R,180,1,X
855,,gdfg,2021-03-23,12:19:28,,Test2,3,4,JAUNE,VERT,R,210,1,X
856,,gdfg,2021-03-23,12:19:29,,Test2,3,5,JAUNE,ROUGE,R,165,0,X
857,,gdfg,2021-03-23,12:19:29,,Test2,4,1,JAUNE,JAUNE,R,394,1,X
858,,gdfg,2021-03-23,12:19:30,,Test2,4,2,ROUGE,VERT,R,195,1,X
859,,gdfg,2021-03-23,12:19:30,,Test2,4,3,JAUNE,ROUGE,R,198,0,X
860,,gdfg,2021-03-23,12:19:30,,Test2,4,4,VERT,BLEU,R,193,1,X
861,,gdfg,2021-03-23,12:19:30,,Test2,4,5,BLEU,VERT,R,167,1,X
862,,gdfg,2021-03-23,12:19:31,,Test2,5,1,BLEU,JAUNE,R,380,1,X
863,,gdfg,2021-03-23,12:19:31,,Test2,5,2,ROUGE,BLEU,R,210,1,X
864,,gdfg,2021-03-23,12:19:31,,Test2,5,3,JAUNE,VERT,R,180,1,X
865,,gdfg,2021-03-23,12:19:32,,Test2,5,4,JAUNE,ROUGE,R,210,0,X
866,,gdfg,2021-03-23,12:19:32,,Test2,5,5,VERT,BLEU,R,180,1,X
867,,gdfg,2021-03-23,12:19:33,,Test2,6,1,ROUGE,VERT,R,387,1,X
868,,gdfg,2021-03-23,12:19:33,,Test2,6,2,BLEU,ROUGE,R,188,0,X
869,,gdfg,2021-03-23,12:19:33,,Test2,6,3,VERT,JAUNE,R,195,1,X
870,,gdfg,2021-03-23,12:19:33,,Test2,6,4,JAUNE,ROUGE,R,210,0,X
871,,gdfg,2021-03-23,12:19:33,,Test2,6,5,VERT,BLEU,R,225,1,X
872,,gdfg,2021-03-23,12:19:34,,Test2,7,1,ROUGE,VERT,R,365,1,X
873,,gdfg,2021-03-23,12:19:34,,Test2,7,2,JAUNE,VERT,R,210,1,X
874,,gdfg,2021-03-23,12:19:35,,Test2,7,3,BLEU,ROUGE,R,195,0,X
875,,gdfg,2021-03-23,12:19:35,,Test2,7,4,ROUGE,BLEU,R,225,1,X
876,,gdfg,2021-03-23,12:19:35,,Test2,7,5,VERT,BLEU,R,195,1,X
877,,gdfg,2021-03-23,12:19:36,,Test2,8,1,BLEU,VERT,R,380,1,X
878,,gdfg,2021-03-23,12:19:36,,Test2,8,2,VERT,ROUGE,R,226,0,X
879,,gdfg,2021-03-23,12:19:36,,Test2,8,3,JAUNE,JAUNE,R,194,1,X
880,,gdfg,2021-03-23,12:19:36,,Test2,8,4,JAUNE,VERT,R,195,1,X
881,,gdfg,2021-03-23,12:19:37,,Test2,8,5,JAUNE,ROUGE,R,210,0,X
882,,gdfg,2021-03-23,12:19:37,,Test2,9,1,BLEU,ROUGE,R,380,0,X
883,,gdfg,2021-03-23,12:19:38,,Test2,9,2,ROUGE,BLEU,R,210,1,X
884,,gdfg,2021-03-23,12:19:38,,Test2,9,3,ROUGE,JAUNE,R,210,1,X
885,,gdfg,2021-03-23,12:19:38,,Test2,9,4,JAUNE,VERT,R,196,1,X
886,,gdfg,2021-03-23,12:19:38,,Test2,9,5,ROUGE,BLEU,R,224,1,X
887,,gdfg,2021-03-23,12:19:40,,Test2,10,1,VERT,ROUGE,R,964,0,X
888,,gdfg,2021-03-23,12:19:40,,Test2,10,2,BLEU,JAUNE,R,225,1,X
889,,gdfg,2021-03-23,12:19:41,,Test2,10,3,ROUGE,BLEU,R,225,1,X
890,,gdfg,2021-03-23,12:19:41,,Test2,10,4,VERT,JAUNE,R,210,1,X
891,,gdfg,2021-03-23,12:19:41,,Test2,10,5,BLEU,ROUGE,R,301,0,X
892,,gdfg,2021-03-23,12:21:09,,Pretest3,1,1,TABLE,ROUGE,R,85176,0,X
893,,gdfg,2021-03-23,12:21:11,,Pretest3,1,2,RUSE,BLEU,B,1844,0,X
894,,gdfg,2021-03-23,12:21:12,,Pretest3,1,3,OISEAU,JAUNE,J,1290,0,X
895,,gdfg,2021-03-23,12:21:13,,Pretest3,1,4,BOIRE,VERT,V,1335,0,X
896,,gdfg,2021-03-23,12:21:14,,Pretest3,1,5,AFFECTION,BLEU,B,465,0,X
897,,gdfg,2021-03-23,12:22:23,,Test3,1,1,VERT,NOIR,D,66980,1,X
898,,gdfg,2021-03-23,12:22:24,,Test3,1,2,JAUNE,NOIR,D,449,1,X
899,,gdfg,2021-03-23,12:22:24,,Test3,1,3,ROUGE,NOIR,D,240,1,X
900,,gdfg,2021-03-23,12:22:24,,Test3,1,4,BLEU,NOIR,D,286,1,X
901,,gdfg,2021-03-23,12:22:25,,Test3,1,5,JAUNE,NOIR,D,569,1,X
902,,gdfg,2021-03-23,12:25:28,,Test3,2,1,VERT,NOIR,A,181164,1,X
903,,gdfg,2021-03-23,12:25:28,,Test3,2,2,ROUGE,NOIR,A,239,1,X
904,,gdfg,2021-03-23,12:25:28,,Test3,2,3,BLEU,NOIR,A,210,1,X
905,,gdfg,2021-03-23,12:25:28,,Test3,2,4,VERT,NOIR,A,196,1,X
906,,gdfg,2021-03-23,12:25:28,,Test3,2,5,BLEU,NOIR,A,179,1,X
907,,gdfg,2021-03-23,12:25:30,,Test3,3,1,ROUGE,NOIR,A,532,1,X
908,,gdfg,2021-03-23,12:25:30,,Test3,3,2,JAUNE,NOIR,A,210,1,X
909,,gdfg,2021-03-23,12:25:30,,Test3,3,3,BLEU,NOIR,A,195,1,X
910,,gdfg,2021-03-23,12:25:30,,Test3,3,4,VERT,NOIR,A,195,1,X
911,,gdfg,2021-03-23,12:25:30,,Test3,3,5,ROUGE,NOIR,A,225,1,X
912,,gdfg,2021-03-23,12:25:31,,Test3,4,1,JAUNE,NOIR,A,532,1,X
913,,gdfg,2021-03-23,12:25:32,,Test3,4,2,JAUNE,NOIR,A,240,1,X
914,,gdfg,2021-03-23,12:25:32,,Test3,4,3,VERT,NOIR,A,225,1,X
915,,gdfg,2021-03-23,12:25:32,,Test3,4,4,BLEU,NOIR,A,225,1,X
916,,gdfg,2021-03-23,12:25:32,,Test3,4,5,ROUGE,NOIR,A,210,1,X
917,,gdfg,2021-03-23,12:25:33,,Test3,5,1,VERT,NOIR,A,398,1,X
918,,gdfg,2021-03-23,12:25:33,,Test3,5,2,JAUNE,NOIR,A,224,1,X
919,,gdfg,2021-03-23,12:25:33,,Test3,5,3,BLEU,NOIR,A,180,1,X
920,,gdfg,2021-03-23,12:25:34,,Test3,5,4,ROUGE,NOIR,A,195,1,X
921,,gdfg,2021-03-23,12:25:34,,Test3,5,5,ROUGE,NOIR,A,195,1,X
922,,gdfg,2021-03-23,12:25:35,,Test3,6,1,BLEU,NOIR,A,487,1,X
923,,gdfg,2021-03-23,12:25:35,,Test3,6,2,JAUNE,NOIR,A,210,1,X
924,,gdfg,2021-03-23,12:25:35,,Test3,6,3,VERT,NOIR,A,195,1,X
925,,gdfg,2021-03-23,12:25:35,,Test3,6,4,JAUNE,NOIR,A,210,1,X
926,,gdfg,2021-03-23,12:25:35,,Test3,6,5,ROUGE,NOIR,A,210,1,X
927,,gdfg,2021-03-23,12:25:36,,Test3,7,1,VERT,NOIR,A,411,1,X
928,,gdfg,2021-03-23,12:25:37,,Test3,7,2,BLEU,NOIR,A,225,1,X
929,,gdfg,2021-03-23,12:25:37,,Test3,7,3,ROUGE,NOIR,A,196,1,X
930,,gdfg,2021-03-23,12:25:37,,Test3,7,4,VERT,NOIR,A,224,1,X
931,,gdfg,2021-03-23,12:25:37,,Test3,7,5,BLEU,NOIR,A,255,1,X
932,,gdfg,2021-03-23,12:25:38,,Test3,8,1,JAUNE,NOIR,A,606,1,X
933,,gdfg,2021-03-23,12:25:38,,Test3,8,2,JAUNE,NOIR,A,225,1,X
934,,gdfg,2021-03-23,12:25:39,,Test3,8,3,BLEU,NOIR,A,255,1,X
935,,gdfg,2021-03-23,12:25:39,,Test3,8,4,ROUGE,NOIR,A,225,1,X
936,,gdfg,2021-03-23,12:25:39,,Test3,8,5,VERT,NOIR,A,225,1,X
937,,gdfg,2021-03-23,12:25:40,,Test3,9,1,BLEU,NOIR,A,666,1,X
938,,gdfg,2021-03-23,12:25:41,,Test3,9,2,JAUNE,NOIR,A,240,1,X
939,,gdfg,2021-03-23,12:25:41,,Test3,9,3,VERT,NOIR,A,225,1,X
940,,gdfg,2021-03-23,12:25:41,,Test3,9,4,ROUGE,NOIR,A,255,1,X
941,,gdfg,2021-03-23,12:25:41,,Test3,9,5,BLEU,NOIR,A,255,1,X
942,,gdfg,2021-03-23,12:25:44,,Test3,10,1,VERT,NOIR,A,2166,1,X
943,,gdfg,2021-03-23,12:25:44,,Test3,10,2,ROUGE,NOIR,A,225,1,X
944,,gdfg,2021-03-23,12:25:45,,Test3,10,3,JAUNE,NOIR,A,210,1,X
945,,gdfg,2021-03-23,12:25:45,,Test3,10,4,VERT,NOIR,A,270,1,X
946,,gdfg,2021-03-23,12:25:46,,Test3,10,5,JAUNE,NOIR,A,780,1,X
